District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Bijapur,50449.0,28503.684999999998,2118.858,1362.123,131041.0,80197.092,4062.271,36822.521
Bijapur,50449.0,28503.684999999998,2118.858,1362.123,131041.0,36298.356999999996,3800.189,77969.39499999999
Bijapur,50449.0,21037.233,3430.532,2522.4500000000003,7942.0,4860.504,246.202,2231.702
Bijapur,50449.0,21037.233,3430.532,2522.4500000000003,7942.0,2199.9339999999997,230.31799999999998,4725.49
Bijapur,50449.0,21037.233,3430.532,2522.4500000000003,131041.0,80197.092,4062.271,36822.521
Bijapur,50449.0,21037.233,3430.532,2522.4500000000003,131041.0,36298.356999999996,3800.189,77969.39499999999
Bijapur,396449.0,223993.68499999997,16650.858,10704.123000000001,7942.0,4860.504,246.202,2231.702
Bijapur,396449.0,223993.68499999997,16650.858,10704.123000000001,7942.0,2199.9339999999997,230.31799999999998,4725.49
Bijapur,396449.0,223993.68499999997,16650.858,10704.123000000001,131041.0,80197.092,4062.271,36822.521
Bijapur,396449.0,223993.68499999997,16650.858,10704.123000000001,131041.0,36298.356999999996,3800.189,77969.39499999999
Bijapur,396449.0,165319.233,26958.532000000003,19822.45,7942.0,4860.504,246.202,2231.702
Bijapur,396449.0,165319.233,26958.532000000003,19822.45,7942.0,2199.9339999999997,230.31799999999998,4725.49
Bijapur,396449.0,165319.233,26958.532000000003,19822.45,131041.0,80197.092,4062.271,36822.521
Bijapur,396449.0,165319.233,26958.532000000003,19822.45,131041.0,36298.356999999996,3800.189,77969.39499999999
Sheopur,150146.0,90688.184,7957.737999999999,8708.467999999999,26376.0,10708.656,844.032,15087.072000000002
Morena,319298.0,170824.43000000002,16603.496000000003,21392.966,95288.0,34017.816000000006,2001.0480000000002,70322.544
Bhind,271211.0,139944.87600000002,12475.706,25222.623000000003,88385.0,35972.695,2209.625,59483.104999999996
Gwalior,172720.0,83078.32,7772.4,29880.56,272172.0,73214.268,5443.4400000000005,236789.63999999998
Datia,160453.0,74931.551,4332.231000000001,18131.189000000002,43401.0,15103.547999999999,1302.03,27386.031
Shivpuri,367859.0,199747.43699999998,15450.078000000001,20600.104,66759.0,21029.085,1869.2519999999997,43860.663
Tikamgarh,322772.0,144279.084,9360.387999999999,12588.108,60220.0,19812.379999999997,1625.9400000000003,27219.440000000002
Chhatarpur,375869.0,169892.788,9772.594000000001,19545.188000000002,95048.0,27658.968000000004,1520.768,55032.791999999994
Panna,256744.0,121953.4,7702.32,12837.2,32179.0,11584.439999999999,740.117,17312.301999999996
Sagar,448408.0,231378.52800000002,21075.176,50221.695999999996,165507.0,53127.747,4137.675,107083.02900000001
Damoh,303387.0,164132.367,15169.35,17899.833000000002,66514.0,22681.274,1928.906,37380.868
Satna,461831.0,181037.752,10160.282000000001,105297.46800000001,114173.0,26716.482,2625.979,69074.665
Rewa,523910.0,181796.77000000002,11002.11,93255.98000000001,94489.0,20598.602,2267.736,56220.954999999994
Umaria,138100.0,65183.200000000004,5800.200000000001,8009.799999999999,29966.0,8480.378,629.2860000000001,16541.232
Neemuch,174235.0,80670.805,4878.58,22999.02,67962.0,18757.512000000002,951.4679999999998,43223.832
Mandsaur,302287.0,150236.63900000002,6952.601,40204.171,81832.0,24140.44,1391.144,55809.424000000006
Ratlam,266716.0,153895.132,9335.060000000001,35739.944,107151.0,29466.525,1500.1139999999998,88721.02799999999
Ujjain,300765.0,165119.985,11429.07,53836.935,188684.0,56793.884,3584.996,157739.824
Shajapur,312611.0,177250.437,13754.884000000002,41889.874,73997.0,23753.037,1775.928,49355.999
Dewas,274995.0,134747.55,17049.69,59673.915,101014.0,30809.27,2626.364,78083.822
Dhar,412348.0,232976.61999999997,19380.356,79170.816,103364.0,31732.748,3100.92,78970.096
Indore,200371.0,82953.594,9217.066,83153.965,587947.0,136991.651,15874.569000000001,530916.1410000001
Khargone (West Nimar),383543.0,218235.96699999998,24163.209,49860.590000000004,76620.0,22602.899999999998,2451.84,56545.56
Barwani,250358.0,150715.516,13018.616000000002,25786.874000000003,48912.0,18293.088,2005.3919999999998,32330.831999999995
Rajgarh,331894.0,200463.976,21573.11,25887.732,69823.0,24926.811,2234.3360000000002,42592.03
Vidisha,292579.0,132245.708,8777.369999999999,33646.585,83830.0,25651.98,1760.43,59938.45
Bhopal,118893.0,55404.138000000006,5112.398999999999,25561.995,581826.0,175129.626,15127.476,488152.014
Sehore,270427.0,117906.172,17848.182,58682.659,59220.0,18535.86,1480.5,46843.02
Raisen,251272.0,116590.208,18091.584000000003,46485.32,74441.0,27096.523999999998,2977.64,53597.52
Betul,318945.0,145438.92,15309.36,41143.905,87704.0,26574.311999999998,2631.12,62796.064
Harda,112714.0,47565.308000000005,8678.978,43169.46199999999,31845.0,8438.925000000001,1401.18,25253.085
Hoshangabad,209650.0,92036.35,21384.3,70861.7,105746.0,30349.102,3595.364,85231.276
Katni,276151.0,128410.21500000001,12150.644000000002,23748.985999999997,72880.0,20843.680000000004,1749.1200000000001,47955.03999999999
Jabalpur,272284.0,125795.208,15520.188,72972.11200000001,352477.0,103628.238,10221.832999999999,282686.554
Narsimhapur,230659.0,112792.251,22604.582000000002,63431.225000000006,53059.0,17880.883,3130.481,38096.362
Dindori,218021.0,111626.75200000001,5886.567000000001,8066.777000000001,9774.0,3684.7980000000002,537.57,5405.021999999999
Mandla,279674.0,120819.16800000002,12025.981999999998,18738.158,37258.0,10655.788,1490.32,24254.957999999995
Chhindwara,413142.0,207810.426,21070.242,50816.46600000001,140802.0,47168.670000000006,5209.674000000001,93351.726
Seoni,335045.0,151105.295,16417.205,50926.84,47542.0,13169.133999999998,1663.9700000000003,35133.53800000001
Balaghat,400074.0,153228.34199999998,21603.996000000003,46808.657999999996,70793.0,20813.142,2406.962,44670.383
Guna,212765.0,104680.38,6170.1849999999995,15744.610000000002,72320.0,24299.52,2386.56,43102.72
Ashoknagar,169606.0,74626.64,4579.362000000001,11872.420000000002,37135.0,14037.029999999999,631.2950000000001,20907.004999999997
Shahdol,233594.0,103248.548,6774.226,17753.144,57846.0,16891.032,1561.842,36847.902
Anuppur,,,,,,,,
Sidhi,250953.0,95864.046,4768.107,10289.072999999999,25916.0,6945.488,388.74,12698.84
Singrauli,228732.0,101557.008,4345.907999999999,5032.104,58593.0,15878.703000000001,1523.4180000000001,30526.953
